id,parent-id,lead-project,title,grant-reference
1,,1,Aerosol-Cloud Coupling And Climate Interactions in the Arctic,NE/I028858/1
2,1,0,Aerosol-Cloud Coupling And Climate Interactions in the Arctic,NE/I028653/1
3,1,0,Aerosol-Cloud Coupling And Climate Interactions in the Arctic,NE/I028696/1
4,1,0,Aerosol-Cloud Coupling And Climate Interactions in the Arctic,NE/I028769/1
5,1,0,Aerosol-Cloud Coupling And Climate Interactions in the Arctic,NE/I028297/1
6,,1,Arctic Predictability and Prediction On Seasonal to Inter-annual Timescales,NE/I029447/1
7,6,0,Arctic Predictability and Prediction On Seasonal to Inter-annual Timescales,NE/I029137/1
8,,1,Carbon Cycling Linkages of Permafrost Sysems,NE/K000292/1
9,8,0,Carbon Cycling Linkages of Permafrost Sysems,NE/K000179/1
10,8,0,Carbon Cycling Linkages of Permafrost Sysems,NE/K00025X/1
11,8,0,Carbon Cycling Linkages of Permafrost Sysems,NE/K000241/1
12,,1,Lakes and the Arctic Carbon Cycle,NE/K000349/1
13,12,0,Lakes and the Arctic Carbon Cycle,NE/K000233/1
14,12,0,Lakes and the Arctic Carbon Cycle,NE/K000276/1
15,12,0,Lakes and the Arctic Carbon Cycle,NE/K000276/1
16,,1,"Methane and Other Greenhouse Gases in the Arctic - Measurements, Process Studies and Modelling (MAMM)",NE/I029161/1
17,16,0,"Methane and Other Greenhouse Gases in the Arctic - Measurements, Process Studies and Modelling (MAMM)",NE/I029293/1
18,16,0,"Methane and Other Greenhouse Gases in the Arctic - Measurements, Process Studies and Modelling (MAMM)",NE/I028327/1
19,16,0,"Methane and Other Greenhouse Gases in the Arctic - Measurements, Process Studies and Modelling (MAMM)",NE/I028874/1
20,16,0,"Methane and Other Greenhouse Gases in the Arctic - Measurements, Process Studies and Modelling (MAMM)",NE/I02934X/1
21,,1,Permafrost catchments in transition: hydrological controls on carbon cycling and greenhouse gas budgets,NE/K000284/1
22,21,0,Permafrost catchments in transition: hydrological controls on carbon cycling and greenhouse gas budgets, NE/K000217/1
23,21,0,Permafrost catchments in transition: hydrological controls on carbon cycling and greenhouse gas budgets,NE/K000268/1
24,21,0,Permafrost catchments in transition: hydrological controls on carbon cycling and greenhouse gas budgets,NE/K000225/1
25,21,0,Permafrost catchments in transition: hydrological controls on carbon cycling and greenhouse gas budgets,NE/K000217/2
26,21,0,Permafrost catchments in transition: hydrological controls on carbon cycling and greenhouse gas budgets,NE/K000284/2
27,,0,Submarine Estimates of Arctic Turbulance Spectra ,NE/I028408/1
28,,1,"The Environment of the Arctic:  Climate, Ocean and Sea Ice",NE/I028947/1
29,28,0,"The Environment of the Arctic:  Climate, Ocean and Sea Ice",NE/I029439/1
30,28,0,"The Environment of the Arctic:  Climate, Ocean and Sea Ice",NE/I028831/1
31,28,0,"The Environment of the Arctic:  Climate, Ocean and Sea Ice",NE/I028939/1
32,28,0,"The Environment of the Arctic:  Climate, Ocean and Sea Ice",NE/I02867X/1
33,28,0,"The Environment of the Arctic:  Climate, Ocean and Sea Ice", NE/I029072/1
34,28,0,"The Environment of the Arctic:  Climate, Ocean and Sea Ice",NE/I029633/1
35,28,0,"The Environment of the Arctic:  Climate, Ocean and Sea Ice",NE/I029226/1
36,,1,Will climate change in the Arctic increase the landslide-tsunami risk to the UK?,NE/K00008X/1
37,36,0,Will climate change in the Arctic increase the landslide-tsunami risk to the UK?,NE/K00008X/2
38,36,0,Will climate change in the Arctic increase the landslide-tsunami risk to the UK?,NE/K000152/1
39,36,0,Will climate change in the Arctic increase the landslide-tsunami risk to the UK?,NE/K000160/1
40,36,0,Will climate change in the Arctic increase the landslide-tsunami risk to the UK?,NE/K000063/1
41,36,0,Will climate change in the Arctic increase the landslide-tsunami risk to the UK?,NE/K000055/2
42,36,0,Will climate change in the Arctic increase the landslide-tsunami risk to the UK?,NE/K000144/2
43,36,0,Will climate change in the Arctic increase the landslide-tsunami risk to the UK?,NE/K000136/1
44,36,0,Will climate change in the Arctic increase the landslide-tsunami risk to the UK?,NE/K000187/1
45,36,0,Will climate change in the Arctic increase the landslide-tsunami risk to the UK?,NE/K000144/1
46,36,0,Will climate change in the Arctic increase the landslide-tsunami risk to the UK?,NE/K000055/1
47,36,0,Will climate change in the Arctic increase the landslide-tsunami risk to the UK?,NE/K000047/1
48,,0,Advective pathways of nutrients and key ecological substances in the Arctic ,NE/R012865/1
49,,1,Arctic PRoductivity in the seasonal Ice ZonE (Arctic PRIZE),NE/P006302/1
50,49,0,Arctic PRoductivity in the seasonal Ice ZonE (Arctic PRIZE),NE/P006086/1
51,49,0,Arctic PRoductivity in the seasonal Ice ZonE (Arctic PRIZE),NE/P006078/1
52,49,0,Arctic PRoductivity in the seasonal Ice ZonE (Arctic PRIZE),NE/P00573X/1
53,49,0,Arctic PRoductivity in the seasonal Ice ZonE (Arctic PRIZE),NE/P005721/1
54,49,0,Arctic PRoductivity in the seasonal Ice ZonE (Arctic PRIZE),NE/P006507/1
